,State,Area,Year,Pop_Est,Int_Mig_Rate,Dom_Mig_Rate
148,AL,Crenshaw County,2012,13916,0.8,2.1
149,AL,Crenshaw County,2013,13847,0.0,-3.7
150,AL,Crenshaw County,2014,13852,-0.1,2.3
151,AL,Crenshaw County,2015,13851,0.0,4.0
152,AL,Crenshaw County,2016,13907,0.0,5.1
153,AL,Crenshaw County,2017,13871,0.0,-1.2
154,AL,Cullman County,2011,80411,0.2,-1.9
155,AL,Cullman County,2012,80275,0.1,-1.2
156,AL,Cullman County,2013,80674,0.3,4.8
157,AL,Cullman County,2014,81041,0.3,3.5
158,AL,Cullman County,2015,81721,0.3,7.5
159,AL,Cullman County,2016,82322,0.4,7.3
160,AL,Cullman County,2017,82755,0.4,5.2
161,AL,Dale County,2011,50107,1.0,-11.2
162,AL,Dale County,2012,50287,3.5,-4.8
163,AL,Dale County,2013,49759,1.6,-15.5
164,AL,Dale County,2014,49409,1.3,-12.7
165,AL,Dale County,2015,49344,2.0,-5.5
166,AL,Dale County,2016,49228,0.9,-5.8
167,AL,Dale County,2017,49226,0.1,-2.1
168,AL,Dallas County,2011,43256,-0.2,-15.0
169,AL,Dallas County,2012,42795,-0.1,-12.7
170,AL,Dallas County,2013,41981,-0.1,-18.3
171,AL,Dallas County,2014,41559,-0.1,-10.4
172,AL,Dallas County,2015,40939,0.0,-14.6
173,AL,Dallas County,2016,40081,0.0,-19.7
174,AL,Dallas County,2017,39215,0.0,-20.4
175,AL,DeKalb County,2011,71353,1.1,-0.1
176,AL,DeKalb County,2012,70944,1.0,-9.0
177,AL,DeKalb County,2013,70905,0.8,-1.4
178,AL,DeKalb County,2014,71034,1.1,-0.5
179,AL,DeKalb County,2015,71198,1.3,0.7
180,AL,DeKalb County,2016,71216,1.3,-1.8
181,AL,DeKalb County,2017,71617,1.3,3.4
182,AL,Elmore County,2011,80006,0.4,1.8
183,AL,Elmore County,2012,80220,0.9,-1.9
184,AL,Elmore County,2013,80555,0.8,0.6
185,AL,Elmore County,2014,80562,0.5,-2.9
186,AL,Elmore County,2015,80912,0.7,1.8
187,AL,Elmore County,2016,81240,0.5,2.1
188,AL,Elmore County,2017,81677,0.4,3.9
189,AL,Escambia County,2011,38202,0.1,-5.0
190,AL,Escambia County,2012,38028,0.0,-3.6
191,AL,Escambia County,2013,37773,0.1,-6.7
192,AL,Escambia County,2014,37740,-0.1,-0.1
193,AL,Escambia County,2015,37667,-0.1,0.2
194,AL,Escambia County,2016,37476,-0.1,-3.4
195,AL,Escambia County,2017,37447,0.0,1.2
196,AL,Etowah County,2011,104354,0.3,-0.2
197,AL,Etowah County,2012,104257,0.1,1.6
198,AL,Etowah County,2013,103865,-0.1,-1.6
199,AL,Etowah County,2014,103374,0.0,-2.9
200,AL,Etowah County,2015,102942,0.0,-2.0
201,AL,Etowah County,2016,102726,0.1,0.0
202,AL,Etowah County,2017,102755,0.1,2.7
203,AL,Fayette County,2011,17050,-0.4,-6.0
204,AL,Fayette County,2012,16944,-0.2,-0.6
205,AL,Fayette County,2013,16823,0.0,-4.1
206,AL,Fayette County,2014,16768,0.0,-1.0
207,AL,Fayette County,2015,16688,0.0,-2.3
208,AL,Fayette County,2016,16538,0.0,-5.3
209,AL,Fayette County,2017,16468,0.0,-0.3
210,AL,Franklin County,2011,31767,1.8,-1.1
211,AL,Franklin County,2012,31658,1.9,-6.1
212,AL,Franklin County,2013,31504,2.9,-8.5
213,AL,Franklin County,2014,31494,1.1,-1.5
214,AL,Franklin County,2015,31467,1.6,-3.3
215,AL,Franklin County,2016,31577,1.7,0.5
216,AL,Franklin County,2017,31495,1.7,-6.1
217,AL,Geneva County,2011,26760,-0.4,0.1
218,AL,Geneva County,2012,26928,-0.4,8.3
219,AL,Geneva County,2013,26684,-0.3,-7.6
220,AL,Geneva County,2014,26598,-0.2,-1.1
221,AL,Geneva County,2015,26639,-0.2,3.9
222,AL,Geneva County,2016,26516,-0.2,-1.6
223,AL,Geneva County,2017,26421,-0.2,-0.3
224,AL,Greene County,2011,8907,0.0,-9.9
225,AL,Greene County,2012,8852,0.0,-6.5
226,AL,Greene County,2013,8752,-0.1,-8.0
227,AL,Greene County,2014,8587,-0.1,-20.1
228,AL,Greene County,2015,8510,-0.1,-7.3
229,AL,Greene County,2016,8488,-0.1,-1.8
230,AL,Greene County,2017,8330,-0.1,-18.8
231,AL,Hale County,2011,15358,0.5,-25.0
232,AL,Hale County,2012,15360,-0.1,-2.7
233,AL,Hale County,2013,15248,0.0,-9.0
234,AL,Hale County,2014,15048,-0.1,-13.7
235,AL,Hale County,2015,15018,-0.1,-4.1
236,AL,Hale County,2016,14847,-0.1,-12.7
237,AL,Hale County,2017,14812,-0.1,-1.6
238,AL,Henry County,2011,17376,1.0,6.0
239,AL,Henry County,2012,17157,0.1,-10.0
240,AL,Henry County,2013,17130,0.3,0.6
241,AL,Henry County,2014,17080,0.1,-1.8
242,AL,Henry County,2015,17102,0.2,4.2
243,AL,Henry County,2016,17092,0.2,1.3
244,AL,Henry County,2017,17147,0.2,4.6
245,AL,Houston County,2011,102468,0.2,2.4
246,AL,Houston County,2012,103362,0.4,5.1
247,AL,Houston County,2013,103625,0.2,1.0
248,AL,Houston County,2014,104148,0.3,2.7
249,AL,Houston County,2015,104249,0.3,-0.9
250,AL,Houston County,2016,104173,0.3,-3.0
251,AL,Houston County,2017,104346,0.3,-0.2
252,AL,Jackson County,2011,53212,0.7,1.4
253,AL,Jackson County,2012,53054,0.8,-1.9
254,AL,Jackson County,2013,52923,0.8,-0.5
255,AL,Jackson County,2014,52541,0.5,-5.9
256,AL,Jackson County,2015,52207,0.5,-3.1
257,AL,Jackson County,2016,52049,0.5,-0.3
258,AL,Jackson County,2017,51909,0.5,-0.6
259,AL,Jefferson County,2011,657789,1.1,-4.4
260,AL,Jefferson County,2012,657668,0.9,-4.4
261,AL,Jefferson County,2013,658727,0.9,-1.8
262,AL,Jefferson County,2014,659544,1.0,-2.3
263,AL,Jefferson County,2015,660087,1.1,-2.9
264,AL,Jefferson County,2016,659747,1.1,-4.0
265,AL,Jefferson County,2017,659197,1.1,-3.9
266,AL,Lamar County,2011,14287,0.1,-10.6
267,AL,Lamar County,2012,14245,0.1,-0.6
268,AL,Lamar County,2013,14210,0.2,1.3
269,AL,Lamar County,2014,14070,0.2,-5.7
270,AL,Lamar County,2015,13931,0.2,-8.4
271,AL,Lamar County,2016,13949,0.2,4.7
272,AL,Lamar County,2017,13946,0.2,2.1
273,AL,Lauderdale County,2011,92603,0.5,-0.2
274,AL,Lauderdale County,2012,92652,0.3,1.7
275,AL,Lauderdale County,2013,92688,0.1,2.4
276,AL,Lauderdale County,2014,92983,0.1,4.8
277,AL,Lauderdale County,2015,92422,0.2,-4.6
278,AL,Lauderdale County,2016,92319,0.2,1.1
279,AL,Lauderdale County,2017,92538,0.2,4.5
280,AL,Lawrence County,2011,34047,0.0,-6.5
281,AL,Lawrence County,2012,33805,0.0,-6.9
282,AL,Lawrence County,2013,33575,-0.1,-6.2
283,AL,Lawrence County,2014,33448,-0.1,-1.9
284,AL,Lawrence County,2015,33137,-0.1,-8.0
285,AL,Lawrence County,2016,33232,-0.1,3.6
286,AL,Lawrence County,2017,33049,-0.1,-4.3
287,AL,Lee County,2011,144117,3.3,13.9
288,AL,Lee County,2012,148318,4.0,18.9
289,AL,Lee County,2013,151445,3.4,12.0
290,AL,Lee County,2014,154211,3.5,9.8
291,AL,Lee County,2015,156740,3.8,7.2
292,AL,Lee County,2016,158983,3.6,4.7
293,AL,Lee County,2017,161604,3.4,7.3
294,AL,Limestone County,2011,85530,0.7,22.7
295,AL,Limestone County,2012,87322,0.9,16.3
296,AL,Limestone County,2013,88902,0.6,13.6
297,AL,Limestone County,2014,90616,0.8,15.0
298,AL,Limestone County,2015,91633,0.9,7.2
299,AL,Limestone County,2016,92920,1.0,10.2
300,AL,Limestone County,2017,94402,1.0,12.2
301,AL,Lowndes County,2011,11130,0.0,-13.1
302,AL,Lowndes County,2012,10846,-0.1,-29.5
303,AL,Lowndes County,2013,10658,0.0,-17.8
304,AL,Lowndes County,2014,10489,-0.1,-16.9
305,AL,Lowndes County,2015,10345,-0.1,-12.2
306,AL,Lowndes County,2016,10241,-0.1,-9.3
307,AL,Lowndes County,2017,10076,-0.1,-13.5
308,AL,Macon County,2011,21284,-0.6,-8.8
309,AL,Macon County,2012,20603,-0.1,-32.7
310,AL,Macon County,2013,20021,0.2,-27.2
311,AL,Macon County,2014,19640,0.3,-18.2
312,AL,Macon County,2015,19304,0.3,-15.0
313,AL,Macon County,2016,19072,0.4,-8.8
314,AL,Macon County,2017,18755,0.4,-13.2
315,AL,Madison County,2011,339519,1.5,4.1
316,AL,Madison County,2012,342554,1.5,3.2
317,AL,Madison County,2013,346373,1.1,6.8
318,AL,Madison County,2014,349596,1.3,3.8
319,AL,Madison County,2015,352740,1.4,4.3
320,AL,Madison County,2016,356312,1.4,5.9
321,AL,Madison County,2017,361046,1.4,9.1
322,AL,Marengo County,2011,20649,0.5,-14.3
323,AL,Marengo County,2012,20360,0.6,-16.3
324,AL,Marengo County,2013,20105,0.6,-11.7
325,AL,Marengo County,2014,19975,0.3,-6.9
326,AL,Marengo County,2015,19757,0.4,-10.5
327,AL,Marengo County,2016,19505,0.4,-12.5
328,AL,Marengo County,2017,19375,0.4,-5.3
329,AL,Marion County,2011,30650,0.4,-1.2
330,AL,Marion County,2012,30480,0.3,-3.0
331,AL,Marion County,2013,30220,0.3,-5.0
332,AL,Marion County,2014,30200,0.0,1.5
333,AL,Marion County,2015,30116,0.0,0.2
334,AL,Marion County,2016,29922,0.0,-2.1
335,AL,Marion County,2017,29833,0.0,0.0
336,AL,Marshall County,2011,93890,1.7,3.3
337,AL,Marshall County,2012,94217,1.1,0.0
338,AL,Marshall County,2013,94291,0.9,-1.1
339,AL,Marshall County,2014,94232,0.6,-3.2
340,AL,Marshall County,2015,94577,0.8,0.2
341,AL,Marshall County,2016,95043,0.8,2.2
342,AL,Marshall County,2017,95548,0.8,2.6
343,AL,Mobile County,2011,413232,1.4,-5.2
344,AL,Mobile County,2012,413737,1.2,-3.9
345,AL,Mobile County,2013,413929,1.2,-3.1
346,AL,Mobile County,2014,414314,1.1,-3.4
347,AL,Mobile County,2015,414588,1.3,-4.2
348,AL,Mobile County,2016,414852,1.2,-3.3
349,AL,Mobile County,2017,413955,1.2,-5.7
350,AL,Monroe County,2011,22800,-0.1,-9.0
351,AL,Monroe County,2012,22587,-0.1,-7.5
352,AL,Monroe County,2013,22176,-0.1,-16.9
353,AL,Monroe County,2014,21931,-0.1,-10.2
354,AL,Monroe County,2015,21720,-0.1,-6.6
355,AL,Monroe County,2016,21572,-0.1,-6.2
356,AL,Monroe County,2017,21327,-0.1,-9.7
357,AL,Montgomery County,2011,229162,1.5,-8.5
358,AL,Montgomery County,2012,228702,2.0,-9.2
359,AL,Montgomery County,2013,227927,1.7,-9.6
360,AL,Montgomery County,2014,227307,1.6,-9.4
361,AL,Montgomery County,2015,227002,1.9,-7.6
362,AL,Montgomery County,2016,226716,1.7,-7.1
363,AL,Montgomery County,2017,226646,1.6,-5.7
364,AL,Morgan County,2011,120007,1.1,0.1
365,AL,Morgan County,2012,120075,0.5,-1.3
366,AL,Morgan County,2013,119539,0.0,-5.8
367,AL,Morgan County,2014,119408,0.6,-3.1
368,AL,Morgan County,2015,119199,0.7,-3.3
369,AL,Morgan County,2016,118819,0.8,-4.5
370,AL,Morgan County,2017,118818,0.8,-1.8
371,AL,Perry County,2011,10472,0.1,-8.2
372,AL,Perry County,2012,10184,0.1,-27.0
373,AL,Perry County,2013,10019,-0.2,-13.3
374,AL,Perry County,2014,9819,-0.1,-15.5
375,AL,Perry County,2015,9653,-0.1,-16.3
376,AL,Perry County,2016,9570,0.0,-11.8
377,AL,Perry County,2017,9339,0.1,-24.2
378,AL,Pickens County,2011,19354,-0.2,-18.0
379,AL,Pickens County,2012,19313,-0.1,-1.2
380,AL,Pickens County,2013,19302,-0.1,2.7
381,AL,Pickens County,2014,20282,0.2,47.7
382,AL,Pickens County,2015,20776,0.3,24.6
383,AL,Pickens County,2016,20315,0.3,-21.7
384,AL,Pickens County,2017,20176,0.3,-5.9
385,AL,Pike County,2011,32967,2.9,-4.8
386,AL,Pike County,2012,33093,2.7,-1.8
387,AL,Pike County,2013,33563,2.6,11.1
388,AL,Pike County,2014,33016,3.2,-22.4
389,AL,Pike County,2015,33372,3.3,5.3
390,AL,Pike County,2016,33215,3.3,-11.4
