,State,Year,Min_Wage,CPI
264,Florida,2012,7.67,229.5939167
265,Georgia,2012,5.15,229.5939167
266,Hawaii,2012,7.25,229.5939167
267,Idaho,2012,7.25,229.5939167
268,Illinois,2012,8.25,229.5939167
269,Indiana,2012,7.25,229.5939167
270,Iowa,2012,7.25,229.5939167
271,Kansas,2012,7.25,229.5939167
272,Kentucky,2012,7.25,229.5939167
273,Louisiana,2012,7.25,229.5939167
274,Maine,2012,7.5,229.5939167
275,Maryland,2012,7.25,229.5939167
276,Massachusetts,2012,8.0,229.5939167
277,Michigan,2012,7.4,229.5939167
278,Minnesota,2012,6.15,229.5939167
279,Mississippi,2012,7.25,229.5939167
280,Missouri,2012,7.25,229.5939167
281,Montana,2012,7.65,229.5939167
282,Nebraska,2012,7.25,229.5939167
283,Nevada,2012,8.25,229.5939167
284,New Hampshire,2012,7.25,229.5939167
285,New Jersey,2012,7.25,229.5939167
286,New Mexico,2012,7.5,229.5939167
287,New York,2012,7.25,229.5939167
288,North Carolina,2012,7.25,229.5939167
289,North Dakota,2012,7.25,229.5939167
290,Ohio,2012,7.7,229.5939167
291,Oklahoma,2012,7.25,229.5939167
292,Oregon,2012,8.8,229.5939167
293,Pennsylvania,2012,7.25,229.5939167
294,Rhode Island,2012,7.4,229.5939167
295,South Carolina,2012,7.25,229.5939167
296,South Dakota,2012,7.25,229.5939167
297,Tennessee,2012,7.25,229.5939167
298,Texas,2012,7.25,229.5939167
299,Utah,2012,7.25,229.5939167
300,Vermont,2012,8.46,229.5939167
301,Virginia,2012,7.25,229.5939167
302,Washington,2012,9.04,229.5939167
303,West Virginia,2012,7.25,229.5939167
304,Wisconsin,2012,7.25,229.5939167
305,Wyoming,2012,5.15,229.5939167
306,Alabama,2013,7.25,232.9570833
307,Alaska,2013,7.75,232.9570833
308,Arizona,2013,7.8,232.9570833
309,Arkansas,2013,6.25,232.9570833
310,California,2013,8.0,232.9570833
311,Colorado,2013,7.78,232.9570833
312,Connecticut,2013,8.25,232.9570833
313,Delaware,2013,7.25,232.9570833
314,District of Columbia,2013,8.25,232.9570833
315,Florida,2013,7.79,232.9570833
316,Georgia,2013,5.15,232.9570833
317,Hawaii,2013,7.25,232.9570833
318,Idaho,2013,7.25,232.9570833
319,Illinois,2013,8.25,232.9570833
320,Indiana,2013,7.25,232.9570833
321,Iowa,2013,7.25,232.9570833
322,Kansas,2013,7.25,232.9570833
323,Kentucky,2013,7.25,232.9570833
324,Louisiana,2013,7.25,232.9570833
325,Maine,2013,7.5,232.9570833
