,State,Area,LHS,HS,SC,BD
1655,MT,Lake County,9.4,29.7,36.0,24.9
1656,MT,Lewis and Clark County,5.1,24.5,32.9,37.5
1657,MT,Liberty County,20.8,24.6,36.2,18.4
1658,MT,Lincoln County,11.9,34.7,34.5,19.0
1659,MT,McCone County,6.9,44.0,32.6,16.4
1660,MT,Madison County,5.5,34.1,33.9,26.6
1661,MT,Meagher County,7.5,41.9,29.4,21.2
1662,MT,Mineral County,12.6,42.6,32.1,12.7
1663,MT,Missoula County,5.0,22.1,31.1,41.8
1664,MT,Musselshell County,9.8,42.8,32.8,14.6
1665,MT,Park County,4.6,32.9,27.3,35.2
1666,MT,Petroleum County,2.2,52.4,24.1,21.3
1667,MT,Phillips County,8.7,40.4,33.4,17.4
1668,MT,Pondera County,10.8,35.7,30.8,22.7
1669,MT,Powder River County,5.1,30.8,38.8,25.4
1670,MT,Powell County,11.4,36.6,34.0,18.0
1671,MT,Prairie County,6.9,41.7,32.2,19.2
1672,MT,Ravalli County,8.9,32.0,33.3,25.8
1673,MT,Richland County,7.8,38.5,35.3,18.4
1674,MT,Roosevelt County,15.1,38.8,31.9,14.2
1675,MT,Rosebud County,11.7,32.3,36.2,19.8
1676,MT,Sanders County,11.9,43.5,28.2,16.4
1677,MT,Sheridan County,8.7,31.0,40.2,20.1
1678,MT,Silver Bow County,9.2,33.6,31.2,25.9
1679,MT,Stillwater County,5.0,35.8,33.8,25.4
1680,MT,Sweet Grass County,6.0,36.8,32.5,24.7
1681,MT,Teton County,7.1,34.0,36.6,22.3
1682,MT,Toole County,15.9,35.0,34.4,14.7
1683,MT,Treasure County,7.8,35.0,37.3,19.8
1684,MT,Valley County,6.5,35.6,36.4,21.5
1685,MT,Wheatland County,24.1,33.1,23.8,19.1
1686,MT,Wibaux County,12.1,37.5,30.2,20.1
1687,MT,Yellowstone County,6.9,31.1,32.7,29.2
1688,MT,Yellowstone National Park,,,,
1689,NE,Nebraska,9.3,27.0,33.7,30.0
1690,NE,Adams County,9.1,31.8,36.6,22.6
1691,NE,Antelope County,9.0,33.4,39.0,18.6
1692,NE,Arthur County,5.0,27.5,40.7,26.8
1693,NE,Banner County,4.0,31.8,47.1,17.0
1694,NE,Blaine County,1.3,35.8,37.9,25.1
1695,NE,Boone County,6.5,38.4,37.5,17.7
1696,NE,Box Butte County,8.5,32.8,43.0,15.7
1697,NE,Boyd County,5.2,40.5,34.7,19.6
1698,NE,Brown County,7.5,39.8,34.0,18.7
1699,NE,Buffalo County,6.4,25.1,35.0,33.5
1700,NE,Burt County,10.1,37.9,34.2,17.8
1701,NE,Butler County,8.9,38.8,34.9,17.4
1702,NE,Cass County,5.3,32.9,36.9,24.9
1703,NE,Cedar County,7.2,37.7,37.4,17.6
1704,NE,Chase County,11.1,29.4,41.0,18.5
1705,NE,Cherry County,8.8,32.9,39.3,19.1
1706,NE,Cheyenne County,6.3,26.4,42.8,24.4
1707,NE,Clay County,10.4,35.0,36.0,18.6
1708,NE,Colfax County,28.5,31.5,26.1,13.9
1709,NE,Cuming County,12.3,38.2,29.6,20.0
1710,NE,Custer County,7.7,32.6,38.3,21.4
1711,NE,Dakota County,25.7,35.9,25.4,13.0
1712,NE,Dawes County,5.6,26.9,32.8,34.7
1713,NE,Dawson County,24.1,31.5,29.2,15.2
1714,NE,Deuel County,9.1,32.5,40.6,17.8
1715,NE,Dixon County,11.5,36.9,32.6,19.0
1716,NE,Dodge County,12.4,35.8,32.9,18.9
1717,NE,Douglas County,10.6,21.7,30.1,37.6
1718,NE,Dundy County,9.8,32.4,38.2,19.5
1719,NE,Fillmore County,8.3,38.2,34.0,19.5
1720,NE,Franklin County,8.8,37.4,35.1,18.8
1721,NE,Frontier County,4.6,33.6,43.0,18.7
1722,NE,Furnas County,11.8,32.7,38.7,16.8
1723,NE,Gage County,10.7,35.3,34.0,20.1
1724,NE,Garden County,5.6,30.4,42.0,21.9
1725,NE,Garfield County,5.7,36.9,38.8,18.5
1726,NE,Gosper County,6.9,34.6,37.6,20.9
1727,NE,Grant County,2.6,40.4,35.0,22.0
1728,NE,Greeley County,6.8,38.9,37.7,16.6
1729,NE,Hall County,16.8,30.9,33.3,19.0
1730,NE,Hamilton County,6.5,31.9,36.3,25.3
1731,NE,Harlan County,8.6,36.1,38.9,16.5
1732,NE,Hayes County,9.2,27.2,43.0,20.6
1733,NE,Hitchcock County,8.2,37.3,39.7,14.7
1734,NE,Holt County,7.8,35.5,35.6,21.2
1735,NE,Hooker County,5.9,34.0,36.4,23.7
1736,NE,Howard County,7.6,40.1,32.0,20.3
1737,NE,Jefferson County,10.7,39.1,35.4,14.9
1738,NE,Johnson County,11.6,41.0,31.4,16.0
1739,NE,Kearney County,6.6,34.5,35.0,23.9
1740,NE,Keith County,8.2,34.4,35.8,21.6
1741,NE,Keya Paha County,6.7,38.1,36.4,18.8
1742,NE,Kimball County,11.6,34.8,38.0,15.6
1743,NE,Knox County,8.4,36.0,35.4,20.2
1744,NE,Lancaster County,6.6,22.3,33.8,37.3
1745,NE,Lincoln County,8.1,30.0,40.2,21.7
1746,NE,Logan County,9.5,28.8,41.0,20.8
1747,NE,Loup County,2.7,37.6,37.8,21.9
1748,NE,McPherson County,6.5,27.3,41.6,24.5
1749,NE,Madison County,11.7,29.9,38.7,19.7
1750,NE,Merrick County,7.5,34.7,41.8,16.0
1751,NE,Morrill County,13.3,31.8,36.0,19.0
1752,NE,Nance County,9.3,37.4,36.0,17.3
1753,NE,Nemaha County,5.6,32.8,32.8,28.8
1754,NE,Nuckolls County,6.7,43.6,33.1,16.6
1755,NE,Otoe County,8.9,37.8,32.6,20.7
1756,NE,Pawnee County,9.3,43.8,30.7,16.2
1757,NE,Perkins County,10.9,31.0,35.0,23.1
1758,NE,Phelps County,6.9,32.7,37.2,23.3
1759,NE,Pierce County,5.2,35.0,38.4,21.4
1760,NE,Platte County,11.0,31.2,36.4,21.4
1761,NE,Polk County,5.9,32.1,40.5,21.5
1762,NE,Red Willow County,6.5,35.3,40.0,18.2
1763,NE,Richardson County,9.0,38.3,33.7,19.1
1764,NE,Rock County,7.5,43.6,31.4,17.5
1765,NE,Saline County,16.4,34.0,35.0,14.6
1766,NE,Sarpy County,4.6,21.9,35.1,38.4
1767,NE,Saunders County,6.9,31.5,35.4,26.1
1768,NE,Scotts Bluff County,13.0,29.5,36.2,21.4
1769,NE,Seward County,7.2,29.4,36.2,27.2
1770,NE,Sheridan County,10.2,30.8,34.0,25.1
1771,NE,Sherman County,7.5,42.5,34.1,15.9
1772,NE,Sioux County,6.0,32.9,32.1,29.1
1773,NE,Stanton County,8.1,33.6,39.1,19.2
1774,NE,Thayer County,8.2,36.2,36.0,19.6
1775,NE,Thomas County,6.6,29.1,40.5,23.8
1776,NE,Thurston County,13.4,33.3,37.5,15.9
1777,NE,Valley County,7.3,41.2,30.8,20.6
1778,NE,Washington County,4.3,30.3,34.8,30.6
1779,NE,Wayne County,5.1,22.4,36.2,36.3
1780,NE,Webster County,8.1,36.3,34.8,20.8
1781,NE,Wheeler County,5.0,40.7,37.7,16.6
1782,NE,York County,5.7,29.9,36.0,28.3
1783,NV,Nevada,14.6,28.3,33.9,23.2
1784,NV,Churchill County,10.6,33.3,39.5,16.6
1785,NV,Clark County,15.1,28.9,33.2,22.8
1786,NV,Douglas County,7.0,23.8,42.9,26.3
1787,NV,Elko County,16.6,27.7,37.6,18.1
1788,NV,Esmeralda County,10.8,42.5,29.8,16.8
1789,NV,Eureka County,8.4,41.5,33.4,16.6
1790,NV,Humboldt County,17.6,34.3,34.1,14.0
1791,NV,Lander County,17.1,36.3,32.6,14.1
1792,NV,Lincoln County,11.4,33.1,32.8,22.7
1793,NV,Lyon County,15.0,32.2,38.3,14.5
1794,NV,Mineral County,13.5,33.3,41.4,11.8
1795,NV,Nye County,15.3,36.5,36.1,12.1
1796,NV,Pershing County,21.8,35.1,32.2,11.0
1797,NV,Storey County,6.0,28.3,42.5,23.1
1798,NV,Washoe County,13.0,23.8,34.2,29.0
1799,NV,White Pine County,16.2,36.3,33.5,14.0
1800,NV,Carson City,12.7,28.5,37.8,21.0
1801,NH,New Hampshire,7.4,28.4,28.7,35.5
1802,NH,Belknap County,8.3,30.1,31.1,30.5
1803,NH,Carroll County,6.7,30.2,29.5,33.6
1804,NH,Cheshire County,7.3,33.3,27.9,31.4
1805,NH,Coos County,12.1,39.2,30.9,17.8
1806,NH,Grafton County,7.8,28.3,25.0,38.9
1807,NH,Hillsborough County,8.4,27.1,28.2,36.3
1808,NH,Merrimack County,6.9,27.9,30.2,34.9
1809,NH,Rockingham County,5.2,26.2,29.0,39.6
1810,NH,Strafford County,7.7,27.7,29.7,34.8
1811,NH,Sullivan County,9.6,35.9,27.7,26.8
1812,NJ,New Jersey,11.1,28.2,23.2,37.5
1813,NJ,Atlantic County,14.3,33.1,26.7,25.9
1814,NJ,Bergen County,8.0,24.0,20.5,47.6
1815,NJ,Burlington County,7.1,29.1,27.4,36.4
1816,NJ,Camden County,11.7,31.1,26.5,30.6
1817,NJ,Cape May County,9.9,33.8,25.7,30.5
1818,NJ,Cumberland County,22.7,39.4,23.7,14.3
1819,NJ,Essex County,15.3,28.5,22.9,33.3
1820,NJ,Gloucester County,8.0,34.3,27.7,29.9
1821,NJ,Hudson County,16.6,26.2,18.7,38.6
1822,NJ,Hunterdon County,5.3,22.4,22.6,49.6
1823,NJ,Mercer County,12.3,25.2,22.0,40.4
1824,NJ,Middlesex County,11.0,26.1,21.4,41.5
1825,NJ,Monmouth County,7.3,25.1,24.3,43.3
1826,NJ,Morris County,6.0,21.7,20.4,51.9
1827,NJ,Ocean County,9.1,35.3,28.2,27.5
1828,NJ,Passaic County,17.5,34.2,21.6,26.7
1829,NJ,Salem County,13.4,38.5,27.8,20.3
1830,NJ,Somerset County,5.9,21.2,20.0,53.0
1831,NJ,Sussex County,6.1,31.2,29.0,33.7
1832,NJ,Union County,14.2,29.5,22.9,33.4
1833,NJ,Warren County,9.6,32.9,27.1,30.4
1834,NM,New Mexico,15.4,26.4,31.6,26.7
1835,NM,Bernalillo County,11.9,23.6,31.7,32.8
1836,NM,Catron County,7.7,37.5,30.0,24.8
1837,NM,Chaves County,21.9,26.7,32.1,19.3
1838,NM,Cibola County,19.9,33.6,34.1,12.4
1839,NM,Colfax County,11.3,34.1,32.4,22.1
1840,NM,Curry County,16.8,26.5,36.9,19.7
1841,NM,De Baca County,14.1,38.6,37.8,9.5
1842,NM,Dona Ana County,21.0,22.3,29.1,27.5
1843,NM,Eddy County,15.5,35.9,31.7,17.0
1844,NM,Grant County,14.0,26.2,32.4,27.4
1845,NM,Guadalupe County,24.1,39.7,22.4,13.9
1846,NM,Harding County,11.0,38.8,24.4,25.8
1847,NM,Hidalgo County,23.1,29.7,31.8,15.4
1848,NM,Lea County,28.2,30.3,28.4,13.1
1849,NM,Lincoln County,10.5,26.8,34.1,28.6
1850,NM,Los Alamos County,2.8,11.2,21.4,64.6
1851,NM,Luna County,30.7,32.8,24.0,12.5
1852,NM,McKinley County,26.2,33.5,29.3,11.0
1853,NM,Mora County,12.3,40.0,34.6,13.2
1854,NM,Otero County,16.3,28.6,37.5,17.6
1855,NM,Quay County,16.5,37.8,30.5,15.2
1856,NM,Rio Arriba County,15.8,33.0,33.1,18.1
1857,NM,Roosevelt County,20.2,26.6,30.6,22.7
1858,NM,Sandoval County,9.2,25.2,35.9,29.8
1859,NM,San Juan County,16.5,31.4,36.7,15.5
1860,NM,San Miguel County,18.2,29.4,33.1,19.3
1861,NM,Santa Fe County,11.7,22.0,25.3,41.0
1862,NM,Sierra County,17.2,32.2,33.0,17.7
1863,NM,Socorro County,20.3,32.9,27.2,19.6
1864,NM,Taos County,12.3,26.1,33.6,28.0
1865,NM,Torrance County,17.7,31.9,32.6,17.7
1866,NM,Union County,21.6,36.5,25.9,15.9
1867,NM,Valencia County,18.3,32.7,31.8,17.1
1868,NY,New York,14.1,26.4,24.8,34.7
1869,NY,Albany County,7.3,25.7,27.3,39.7
1870,NY,Allegany County,11.0,37.8,30.8,20.5
1871,NY,Bronx County,28.8,27.4,24.6,19.1
1872,NY,Broome County,9.8,31.9,30.6,27.8
1873,NY,Cattaraugus County,11.8,40.3,29.8,18.1
1874,NY,Cayuga County,12.4,33.2,32.8,21.6
1875,NY,Chautauqua County,11.8,35.8,31.6,20.8
1876,NY,Chemung County,9.8,34.9,30.9,24.4
1877,NY,Chenango County,13.1,38.7,30.8,17.4
1878,NY,Clinton County,13.6,35.5,28.6,22.2
1879,NY,Columbia County,11.1,31.1,28.3,29.5
1880,NY,Cortland County,9.6,33.7,31.9,24.8
1881,NY,Delaware County,12.2,38.1,28.3,21.3
1882,NY,Dutchess County,9.9,26.6,29.6,34.0
1883,NY,Erie County,9.2,28.2,30.4,32.2
1884,NY,Essex County,10.4,34.8,30.1,24.6
1885,NY,Franklin County,14.6,36.1,30.9,18.4
1886,NY,Fulton County,13.3,36.6,33.1,17.0
1887,NY,Genesee County,9.1,35.9,33.8,21.2
1888,NY,Greene County,14.1,36.6,29.0,20.3
1889,NY,Hamilton County,13.7,30.7,33.9,21.6
1890,NY,Herkimer County,9.8,35.4,33.2,21.5
1891,NY,Jefferson County,9.8,34.0,35.4,20.8
1892,NY,Kings County,20.0,25.8,20.1,34.1
1893,NY,Lewis County,10.9,44.8,28.8,15.5
1894,NY,Livingston County,11.0,33.8,30.7,24.5
1895,NY,Madison County,9.6,33.8,29.9,26.7
1896,NY,Monroe County,9.6,24.5,29.2,36.7
1897,NY,Montgomery County,15.5,36.9,31.6,16.0
1898,NY,Nassau County,9.1,23.7,23.6,43.5
1899,NY,New York County,13.0,12.6,14.0,60.4
1900,NY,Niagara County,9.1,34.9,32.5,23.5
1901,NY,Oneida County,11.9,33.5,30.8,23.8
1902,NY,Onondaga County,9.5,25.9,30.3,34.3
1903,NY,Ontario County,7.4,28.4,32.2,32.1
1904,NY,Orange County,10.6,29.8,30.9,28.7
1905,NY,Orleans County,13.7,39.5,31.0,15.9
1906,NY,Oswego County,13.5,38.9,29.6,18.0
1907,NY,Otsego County,9.5,33.2,28.8,28.5
1908,NY,Putnam County,7.3,27.0,26.8,38.9
1909,NY,Queens County,19.3,27.3,22.8,30.6
1910,NY,Rensselaer County,8.7,28.6,33.4,29.3
1911,NY,Richmond County,11.1,31.4,26.1,31.4
1912,NY,Rockland County,12.7,22.4,24.4,40.4
1913,NY,St. Lawrence County,11.9,36.0,29.3,22.8
1914,NY,Saratoga County,6.0,25.4,29.0,39.7
1915,NY,Schenectady County,9.8,29.7,30.0,30.6
1916,NY,Schoharie County,11.5,38.0,30.0,20.5
1917,NY,Schuyler County,10.0,39.9,29.3,20.8
1918,NY,Seneca County,14.5,35.6,29.9,20.0
1919,NY,Steuben County,10.4,37.3,30.0,22.3
1920,NY,Suffolk County,10.0,28.9,26.8,34.4
1921,NY,Sullivan County,13.8,33.4,30.5,22.4
1922,NY,Tioga County,9.8,35.3,30.0,25.0
1923,NY,Tompkins County,5.5,19.9,23.0,51.6
1924,NY,Ulster County,9.9,30.5,28.6,31.0
1925,NY,Warren County,8.8,33.4,29.3,28.4
1926,NY,Washington County,11.5,39.6,28.7,20.2
1927,NY,Wayne County,10.0,36.1,32.7,21.2
1928,NY,Westchester County,12.4,19.7,20.6,47.3
1929,NY,Wyoming County,11.9,41.2,31.9,15.0
1930,NY,Yates County,14.8,34.1,27.9,23.2
1931,NC,North Carolina,13.7,26.4,30.9,29.0
1932,NC,Alamance County,15.3,28.2,34.5,22.1
1933,NC,Alexander County,19.4,39.6,27.6,13.3
1934,NC,Alleghany County,19.0,32.3,30.1,18.6
1935,NC,Anson County,19.6,41.1,29.8,9.5
1936,NC,Ashe County,16.7,31.5,32.3,19.5
1937,NC,Avery County,21.0,29.8,29.4,19.8
1938,NC,Beaufort County,15.4,32.9,33.2,18.6
1939,NC,Bertie County,25.2,38.1,25.2,11.5
1940,NC,Bladen County,21.6,31.9,31.7,14.8
1941,NC,Brunswick County,12.0,27.5,33.5,27.0
1942,NC,Buncombe County,10.0,24.5,28.9,36.6
1943,NC,Burke County,20.4,30.0,32.7,16.9
1944,NC,Cabarrus County,11.1,26.3,34.1,28.6
1945,NC,Caldwell County,22.4,31.8,31.9,13.8
1946,NC,Camden County,16.8,23.4,39.5,20.4
1947,NC,Carteret County,10.0,26.6,37.4,25.9
1948,NC,Caswell County,24.9,33.5,28.5,13.2
1949,NC,Catawba County,16.6,30.5,31.3,21.6
1950,NC,Chatham County,13.1,21.7,26.3,38.8
1951,NC,Cherokee County,15.8,33.8,31.2,19.2
1952,NC,Chowan County,15.8,34.3,29.8,20.1
1953,NC,Clay County,12.0,32.6,34.4,21.0
1954,NC,Cleveland County,16.5,34.7,32.5,16.3
1955,NC,Columbus County,19.3,32.7,36.0,12.0
1956,NC,Craven County,12.7,26.9,38.0,22.5
1957,NC,Cumberland County,9.7,25.7,40.4,24.1
1958,NC,Currituck County,12.8,29.0,36.3,21.9
1959,NC,Dare County,7.5,24.6,38.9,29.0
1960,NC,Davidson County,17.6,33.5,30.7,18.2
1961,NC,Davie County,14.5,31.0,30.9,23.6
1962,NC,Duplin County,28.0,31.0,30.8,10.3
1963,NC,Durham County,12.6,17.1,23.4,46.9
1964,NC,Edgecombe County,22.6,36.4,30.6,10.4
1965,NC,Forsyth County,12.1,25.3,29.0,33.6
1966,NC,Franklin County,16.8,30.2,32.6,20.4
1967,NC,Gaston County,16.8,30.0,33.4,19.8
1968,NC,Gates County,14.7,37.3,33.6,14.5
1969,NC,Graham County,21.0,35.5,29.6,14.0
1970,NC,Granville County,18.4,31.3,30.9,19.4
1971,NC,Greene County,24.9,31.6,34.2,9.2
1972,NC,Guilford County,11.6,24.5,29.4,34.5
1973,NC,Halifax County,23.2,36.1,27.3,13.4
1974,NC,Harnett County,14.2,31.3,35.2,19.3
1975,NC,Haywood County,13.0,28.6,34.6,23.8
1976,NC,Henderson County,11.3,26.2,32.8,29.7
1977,NC,Hertford County,19.7,33.0,32.4,15.0
1978,NC,Hoke County,15.4,28.7,38.2,17.8
1979,NC,Hyde County,19.4,41.0,30.9,8.7
1980,NC,Iredell County,12.1,29.2,33.0,25.7
1981,NC,Jackson County,13.2,26.8,30.6,29.4
1982,NC,Johnston County,15.0,30.2,33.5,21.2
1983,NC,Jones County,18.5,29.3,38.2,14.0
1984,NC,Lee County,19.0,26.0,34.1,20.8
1985,NC,Lenoir County,19.7,31.5,35.1,13.7
1986,NC,Lincoln County,16.1,31.4,32.8,19.7
1987,NC,McDowell County,17.6,35.2,32.6,14.6
1988,NC,Macon County,12.3,30.6,34.3,22.8
1989,NC,Madison County,17.5,30.6,27.2,24.7
1990,NC,Martin County,16.3,36.1,31.8,15.8
1991,NC,Mecklenburg County,10.4,18.4,28.1,43.1
1992,NC,Mitchell County,18.3,32.6,31.6,17.5
1993,NC,Montgomery County,23.6,32.1,29.8,14.5
1994,NC,Moore County,10.4,24.2,31.2,34.2
1995,NC,Nash County,15.9,33.7,30.8,19.6
1996,NC,New Hanover County,7.7,22.2,32.2,37.9
1997,NC,Northampton County,21.7,38.2,28.8,11.3
1998,NC,Onslow County,9.0,29.0,42.5,19.5
1999,NC,Orange County,7.6,15.0,19.7,57.7
2000,NC,Pamlico County,13.3,31.1,36.4,19.2
2001,NC,Pasquotank County,14.6,32.0,34.5,18.9
2002,NC,Pender County,14.5,30.0,32.4,23.1
2003,NC,Perquimans County,15.1,35.4,32.1,17.4
2004,NC,Person County,15.3,37.4,32.4,14.9
2005,NC,Pitt County,11.2,24.9,34.4,29.5
2006,NC,Polk County,12.2,25.2,30.8,31.8
2007,NC,Randolph County,20.0,34.5,30.3,15.1
2008,NC,Richmond County,19.7,35.0,31.4,13.8
2009,NC,Robeson County,23.6,34.4,29.3,12.6
2010,NC,Rockingham County,18.9,36.1,31.1,13.8
2011,NC,Rowan County,16.1,33.2,33.1,17.6
2012,NC,Rutherford County,19.0,31.9,32.4,16.7
2013,NC,Sampson County,24.3,33.5,30.3,11.9
2014,NC,Scotland County,21.4,34.3,29.5,14.7
2015,NC,Stanly County,15.3,33.9,34.7,16.1
2016,NC,Stokes County,17.8,39.3,28.6,14.3
2017,NC,Surry County,22.4,30.8,31.5,15.3
2018,NC,Swain County,19.7,32.8,32.1,15.3
2019,NC,Transylvania County,11.8,28.4,30.2,29.7
2020,NC,Tyrrell County,27.0,39.3,25.4,8.2
2021,NC,Union County,10.8,25.0,30.5,33.6
2022,NC,Vance County,23.7,36.3,28.6,11.5
2023,NC,Wake County,7.7,16.2,26.1,50.1
2024,NC,Warren County,20.8,35.3,29.2,14.6
2025,NC,Washington County,20.7,37.7,31.9,9.7
2026,NC,Watauga County,12.0,20.9,28.2,38.9
2027,NC,Wayne County,17.0,29.4,34.9,18.7
2028,NC,Wilkes County,23.1,32.9,30.2,13.8
2029,NC,Wilson County,19.8,33.5,28.1,18.6
2030,NC,Yadkin County,21.9,34.5,31.5,12.1
2031,NC,Yancey County,16.6,34.4,28.8,20.1
2032,ND,North Dakota,8.0,27.4,36.4,28.2
2033,ND,Adams County,4.0,34.0,34.4,27.5
2034,ND,Barnes County,9.1,32.7,34.5,23.7
2035,ND,Benson County,15.0,32.4,37.6,15.0
2036,ND,Billings County,9.9,32.9,32.3,24.9
2037,ND,Bottineau County,9.2,32.1,37.5,21.3
2038,ND,Bowman County,10.2,32.6,35.2,21.9
2039,ND,Burke County,11.1,28.6,39.5,20.9
2040,ND,Burleigh County,6.6,23.7,35.5,34.2
2041,ND,Cass County,5.5,20.7,36.4,37.4
2042,ND,Cavalier County,9.0,28.3,44.0,18.7
2043,ND,Dickey County,12.3,27.3,32.5,28.0
2044,ND,Divide County,11.8,33.9,31.3,23.1
2045,ND,Dunn County,9.0,32.5,38.1,20.5
2046,ND,Eddy County,10.9,30.7,36.3,22.2
2047,ND,Emmons County,15.2,36.6,33.0,15.3
2048,ND,Foster County,11.3,28.6,38.5,21.6
2049,ND,Golden Valley County,7.6,24.7,45.4,22.3
2050,ND,Grand Forks County,6.3,25.1,35.5,33.1
2051,ND,Grant County,11.3,37.1,33.5,18.1
2052,ND,Griggs County,12.4,32.8,34.6,20.3
2053,ND,Hettinger County,12.1,36.1,38.0,13.8
2054,ND,Kidder County,9.0,35.7,35.5,19.7
2055,ND,LaMoure County,13.7,30.4,33.3,22.5
2056,ND,Logan County,15.6,41.6,29.0,13.8
2057,ND,McHenry County,10.0,34.7,34.5,20.8
2058,ND,McIntosh County,18.4,31.4,31.9,18.3
2059,ND,McKenzie County,7.6,31.1,36.7,24.6
2060,ND,McLean County,8.5,35.4,37.8,18.3
2061,ND,Mercer County,9.4,29.2,40.7,20.7
2062,ND,Morton County,7.9,31.2,35.6,25.3
2063,ND,Mountrail County,8.1,29.5,38.7,23.6
2064,ND,Nelson County,8.3,32.4,39.8,19.4
2065,ND,Oliver County,12.1,32.5,38.0,17.4
2066,ND,Pembina County,11.1,35.2,33.5,20.2
2067,ND,Pierce County,11.7,35.4,38.9,14.0
2068,ND,Ramsey County,9.1,31.3,37.7,21.9
2069,ND,Ransom County,10.0,36.6,36.2,17.2
2070,ND,Renville County,7.8,31.0,44.0,17.2
2071,ND,Richland County,8.6,29.1,40.5,21.9
2072,ND,Rolette County,16.0,22.3,39.2,22.5
2073,ND,Sargent County,8.3,31.3,41.5,19.0
2074,ND,Sheridan County,13.1,36.5,34.9,15.4
2075,ND,Sioux County,14.3,32.2,36.9,16.6
2076,ND,Slope County,11.4,27.8,31.5,29.3
2077,ND,Stark County,9.4,30.8,35.2,24.7
2078,ND,Steele County,5.9,29.8,41.1,23.2
2079,ND,Stutsman County,10.1,34.4,30.9,24.5
2080,ND,Towner County,7.7,33.3,40.4,18.6
2081,ND,Traill County,7.8,26.2,38.8,27.2
2082,ND,Walsh County,13.1,36.7,33.5,16.7
2083,ND,Ward County,6.7,29.9,37.1,26.4
2084,ND,Wells County,15.2,33.0,30.5,21.3
2085,ND,Williams County,7.7,28.4,41.4,22.5
2086,OH,Ohio,10.5,33.8,29.0,26.7
2087,OH,Adams County,21.8,45.7,21.7,10.9
2088,OH,Allen County,10.7,38.9,33.0,17.4
2089,OH,Ashland County,12.6,43.1,24.7,19.6
2090,OH,Ashtabula County,14.6,44.3,28.0,13.1
2091,OH,Athens County,10.3,32.9,27.7,29.1
2092,OH,Auglaize County,7.2,44.6,30.4,17.8
2093,OH,Belmont County,10.1,42.4,31.1,16.4
2094,OH,Brown County,14.7,47.7,25.1,12.4
2095,OH,Butler County,10.3,33.3,27.2,29.1
2096,OH,Carroll County,13.0,47.8,27.8,11.4
2097,OH,Champaign County,10.9,45.4,27.3,16.5
2098,OH,Clark County,12.8,37.1,32.1,18.0
2099,OH,Clermont County,10.4,33.5,28.5,27.6
2100,OH,Clinton County,11.5,42.2,29.8,16.5
2101,OH,Columbiana County,12.4,45.4,28.3,13.9
2102,OH,Coshocton County,14.3,49.3,24.4,12.1
2103,OH,Crawford County,11.5,45.8,30.0,12.7
2104,OH,Cuyahoga County,11.5,28.3,29.3,30.9
2105,OH,Darke County,11.1,48.5,27.3,13.1
2106,OH,Defiance County,10.2,44.6,29.5,15.8
2107,OH,Delaware County,3.4,20.5,23.7,52.5
2108,OH,Erie County,9.4,38.3,30.7,21.6
2109,OH,Fairfield County,8.3,33.8,31.5,26.4
2110,OH,Fayette County,12.6,49.4,23.5,14.5
2111,OH,Franklin County,9.6,25.0,27.0,38.4
2112,OH,Fulton County,9.6,42.0,31.4,17.0
2113,OH,Gallia County,19.5,40.4,24.7,15.4
2114,OH,Geauga County,8.9,27.0,26.8,37.3
2115,OH,Greene County,7.4,25.2,29.8,37.6
2116,OH,Guernsey County,15.5,42.3,28.5,13.7
2117,OH,Hamilton County,9.9,27.0,27.5,35.6
2118,OH,Hancock County,7.5,36.4,30.3,25.8
2119,OH,Hardin County,10.6,48.9,26.2,14.4
2120,OH,Harrison County,14.1,47.2,29.0,9.7
2121,OH,Henry County,8.7,44.3,30.9,16.0
2122,OH,Highland County,16.1,43.2,28.7,12.0
2123,OH,Hocking County,11.6,45.3,29.0,14.1
2124,OH,Holmes County,41.5,36.3,14.4,7.7
2125,OH,Huron County,12.3,47.0,27.2,13.5
2126,OH,Jackson County,15.8,42.7,24.6,16.9
2127,OH,Jefferson County,10.1,42.2,32.2,15.4
2128,OH,Knox County,10.4,41.1,26.6,21.9
2129,OH,Lake County,8.1,33.5,31.5,27.0
2130,OH,Lawrence County,14.3,41.6,29.9,14.1
2131,OH,Licking County,9.6,36.4,30.7,23.3
2132,OH,Logan County,10.4,49.2,24.9,15.6
2133,OH,Lorain County,10.8,32.2,33.5,23.5
2134,OH,Lucas County,11.2,30.4,33.3,25.1
2135,OH,Madison County,13.3,42.0,28.4,16.4
2136,OH,Mahoning County,9.9,37.9,29.4,22.8
2137,OH,Marion County,13.4,43.1,31.2,12.3
2138,OH,Medina County,6.4,31.9,30.3,31.5
2139,OH,Meigs County,16.0,43.2,27.3,13.4
2140,OH,Mercer County,8.2,47.8,27.1,16.8
2141,OH,Miami County,10.9,36.0,32.0,21.1
2142,OH,Monroe County,12.5,51.1,25.7,10.7
2143,OH,Montgomery County,10.4,28.4,35.1,26.1
2144,OH,Morgan County,12.3,46.7,28.9,12.2
2145,OH,Morrow County,13.9,45.5,27.1,13.5
2146,OH,Muskingum County,13.5,41.4,30.0,15.1
2147,OH,Noble County,15.9,49.8,24.8,9.5
2148,OH,Ottawa County,7.7,37.7,33.3,21.3
2149,OH,Paulding County,9.8,49.7,27.5,13.0
2150,OH,Perry County,16.1,44.3,27.7,12.0
2151,OH,Pickaway County,12.9,43.3,26.5,17.3
2152,OH,Pike County,21.9,40.7,25.2,12.3
