,State,Area,LHS,HS,SC,BD
823,IA,Butler County,8.1,40.3,35.9,15.7
824,IA,Calhoun County,7.8,36.4,37.5,18.4
825,IA,Carroll County,7.1,39.5,32.1,21.4
826,IA,Cass County,9.7,42.8,27.7,19.8
827,IA,Cedar County,6.6,36.2,35.1,22.0
828,IA,Cerro Gordo County,6.7,31.4,40.0,21.9
829,IA,Cherokee County,9.4,34.8,36.7,19.2
830,IA,Chickasaw County,9.7,44.1,31.7,14.5
831,IA,Clarke County,9.3,44.3,31.0,15.4
832,IA,Clay County,6.8,34.6,37.8,20.9
833,IA,Clayton County,9.0,44.7,31.0,15.3
834,IA,Clinton County,8.4,36.5,35.7,19.4
835,IA,Crawford County,21.5,37.7,29.2,11.7
836,IA,Dallas County,4.5,19.4,28.7,47.4
837,IA,Davis County,13.3,38.2,31.9,16.6
838,IA,Decatur County,13.1,37.2,29.7,20.1
839,IA,Delaware County,9.3,43.5,32.1,15.1
840,IA,Des Moines County,7.8,35.0,37.6,19.6
841,IA,Dickinson County,4.4,29.3,37.3,29.0
842,IA,Dubuque County,7.7,34.7,28.5,29.2
843,IA,Emmet County,10.4,34.1,38.0,17.5
844,IA,Fayette County,10.2,38.5,31.7,19.6
845,IA,Floyd County,11.0,35.3,34.1,19.7
846,IA,Franklin County,11.4,38.3,33.6,16.7
847,IA,Fremont County,7.9,35.6,35.0,21.4
848,IA,Greene County,7.2,37.4,37.4,18.0
849,IA,Grundy County,4.6,34.3,35.9,25.1
850,IA,Guthrie County,7.9,39.1,32.4,20.5
851,IA,Hamilton County,7.8,31.5,38.7,22.0
852,IA,Hancock County,7.3,36.7,36.1,19.9
853,IA,Hardin County,8.3,33.8,37.5,20.4
854,IA,Harrison County,9.0,38.2,35.4,17.4
855,IA,Henry County,8.0,37.4,35.7,18.8
856,IA,Howard County,11.1,43.5,32.2,13.2
857,IA,Humboldt County,6.9,36.9,36.4,19.9
858,IA,Ida County,6.7,40.3,34.0,19.0
859,IA,Iowa County,7.9,40.8,32.6,18.6
860,IA,Jackson County,8.8,43.2,31.5,16.5
861,IA,Jasper County,7.6,40.8,33.8,17.9
862,IA,Jefferson County,5.1,29.1,32.8,33.1
863,IA,Johnson County,5.3,16.5,25.8,52.4
864,IA,Jones County,7.9,39.5,35.8,16.7
865,IA,Keokuk County,8.7,42.9,31.4,17.0
866,IA,Kossuth County,5.7,37.9,36.9,19.5
867,IA,Lee County,8.2,41.2,36.0,14.6
868,IA,Linn County,5.4,27.2,35.2,32.2
869,IA,Louisa County,17.3,37.3,32.1,13.3
870,IA,Lucas County,8.2,45.1,30.2,16.5
871,IA,Lyon County,9.4,37.3,32.1,21.3
872,IA,Madison County,5.6,37.4,34.5,22.5
873,IA,Mahaska County,8.9,37.2,30.0,23.9
874,IA,Marion County,7.1,35.8,31.6,25.4
875,IA,Marshall County,15.3,32.7,32.5,19.5
876,IA,Mills County,6.7,35.3,34.0,23.9
877,IA,Mitchell County,8.8,43.9,31.7,15.7
878,IA,Monona County,9.5,39.8,34.1,16.6
879,IA,Monroe County,11.9,45.8,27.0,15.4
880,IA,Montgomery County,10.9,36.2,37.4,15.5
881,IA,Muscatine County,13.1,33.9,32.4,20.5
882,IA,O'Brien County,7.9,36.4,35.7,20.0
883,IA,Osceola County,12.4,39.6,31.4,16.6
884,IA,Page County,11.6,33.9,32.6,21.9
885,IA,Palo Alto County,6.4,30.2,41.3,22.1
886,IA,Plymouth County,7.9,34.6,38.0,19.5
887,IA,Pocahontas County,6.9,39.2,37.0,16.9
888,IA,Polk County,8.3,25.0,31.2,35.6
889,IA,Pottawattamie County,10.0,34.7,34.6,20.7
890,IA,Poweshiek County,6.6,39.3,31.3,22.9
891,IA,Ringgold County,9.2,37.3,34.1,19.3
892,IA,Sac County,8.3,38.6,33.8,19.3
893,IA,Scott County,7.0,29.4,31.7,31.9
894,IA,Shelby County,8.7,37.8,32.4,21.1
895,IA,Sioux County,10.1,30.9,32.1,26.9
896,IA,Story County,3.7,18.5,27.6,50.3
897,IA,Tama County,9.4,40.7,33.6,16.3
898,IA,Taylor County,9.1,41.8,35.5,13.6
899,IA,Union County,8.1,38.9,36.6,16.4
900,IA,Van Buren County,11.7,42.2,33.4,12.7
901,IA,Wapello County,13.7,36.6,32.0,17.6
902,IA,Warren County,4.4,32.1,34.6,28.8
